roi_name,Net7,posR,posA,posS,colR,colG,colB
17Networks_RH_SomMotA_5,SomMot,6,-10,52,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_6,SomMot,44,-22,54,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_7,SomMot,38,-20,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_8,SomMot,32,-34,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_9,SomMot,30,-40,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_10,SomMot,34,-28,62,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_11,SomMot,4,-24,58,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_12,SomMot,28,-10,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_13,SomMot,10,-40,68,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_14,SomMot,22,-24,66,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_15,SomMot,22,-28,68,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_16,SomMot,22,-34,70,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_17,SomMot,16,-6,70,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_18,SomMot,6,-22,72,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_19,SomMot,16,-18,74,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_20,SomMot,12,-32,76,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_Aud_1,SomMot,52,4,-6,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_Aud_2,SomMot,54,-14,6,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_Ins_1,SomMot,40,-20,4,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_S2_1,SomMot,38,-8,14,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_S2_2,SomMot,34,-22,14,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_Aud_3,SomMot,60,-24,10,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_S2_3,SomMot,42,-14,18,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_S2_4,SomMot,42,-30,18,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_S2_5,SomMot,50,-10,14,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_S2_6,SomMot,60,0,10,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_S2_7,SomMot,48,-22,18,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_S2_8,SomMot,62,-12,16,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_Cent_1,SomMot,60,6,30,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_Cent_2,SomMot,60,-6,26,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotB_Cent_3,SomMot,52,-6,38,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_DorsAttnA_TempOcc_1,DorsAttn,34,-36,-24,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_TempOcc_2,DorsAttn,50,-50,-18,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_TempOcc_3,DorsAttn,50,-64,-10,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_ParOcc_1,DorsAttn,48,-66,4,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_ParOcc_2,DorsAttn,54,-56,12,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_ParOcc_3,DorsAttn,36,-78,24,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_SPL_1,DorsAttn,30,-78,36,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_SPL_2,DorsAttn,32,-66,36,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_SPL_3,DorsAttn,18,-78,50,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_SPL_4,DorsAttn,30,-64,52,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_SPL_5,DorsAttn,20,-68,52,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_SPL_6,DorsAttn,34,-50,54,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_SPL_7,DorsAttn,26,-58,60,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnA_SPL_8,DorsAttn,14,-64,64,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_TempOcc_1,DorsAttn,60,-54,-2,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_PostC_1,DorsAttn,62,-14,30,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_PostC_2,DorsAttn,58,-22,44,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_PostC_3,DorsAttn,44,-38,50,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_PostC_4,DorsAttn,46,-28,42,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_PostC_5,DorsAttn,36,-36,52,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_PostC_6,DorsAttn,8,-54,60,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_PostC_7,DorsAttn,24,-50,68,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_PostC_8,DorsAttn,16,-46,74,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_FEF_1,DorsAttn,40,-4,52,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_FEF_2,DorsAttn,28,-4,52,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_DorsAttnB_FEF_3,DorsAttn,24,-2,64,0.0,0.4627450980392157,0.054901960784313725
17Networks_RH_SalVentAttnA_ParOper_1,SalVentAttn,58,-32,24,0.7686274509803922,0.22745098039215686,0.9803921568627451
