roi_name,Net7,posR,posA,posS,colR,colG,colB
7Networks_RH_SalVentAttn_Med_4,SalVentAttn,6,10,58,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_Med_5,SalVentAttn,10,-44,54,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_Med_6,SalVentAttn,10,-32,50,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_Med_7,SalVentAttn,6,-2,66,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_Med_8,SalVentAttn,16,6,70,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_Limbic_OFC_1,Limbic,14,24,-20,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_OFC_2,Limbic,22,22,-20,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_OFC_3,Limbic,8,46,-24,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_OFC_4,Limbic,20,42,-18,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_OFC_5,Limbic,4,22,-20,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_OFC_6,Limbic,10,62,-14,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_TempPole_1,Limbic,28,-2,-40,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_TempPole_2,Limbic,48,-6,-40,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_TempPole_3,Limbic,36,18,-38,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_TempPole_4,Limbic,40,-14,-32,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_TempPole_5,Limbic,28,12,-30,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_TempPole_6,Limbic,50,-28,-26,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Limbic_TempPole_7,Limbic,22,-18,-28,0.8627450980392157,0.9725490196078431,0.6431372549019608
7Networks_RH_Cont_Par_1,Cont,54,-52,44,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_Par_2,Cont,56,-40,48,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_Par_3,Cont,36,-70,46,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_Par_4,Cont,54,-32,52,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_Par_5,Cont,46,-44,46,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_Par_6,Cont,42,-56,48,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_Temp_1,Cont,62,-28,-20,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_Temp_2,Cont,64,-42,-10,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCv_1,Cont,34,22,-8,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_1,Cont,28,54,-14,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_2,Cont,42,50,-6,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_3,Cont,28,60,2,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_4,Cont,50,40,6,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_5,Cont,42,46,14,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_6,Cont,50,30,18,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_7,Cont,48,18,24,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_8,Cont,26,54,24,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_9,Cont,48,28,28,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_10,Cont,38,10,34,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_11,Cont,38,34,38,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_12,Cont,44,18,44,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_13,Cont,42,6,50,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_14,Cont,34,16,56,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_PFCl_15,Cont,24,10,58,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_pCun_1,Cont,14,-72,40,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_pCun_2,Cont,6,-64,44,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_Cing_1,Cont,6,-28,28,0.9019607843137255,0.5803921568627451,0.13333333333333333
7Networks_RH_Cont_Cing_2,Cont,4,2,30,0.9019607843137255,0.5803921568627451,0.13333333333333333
